# 完整配对（回流权威源）
# 格式：日文<TAB>中文

必殺	必杀
厄介	棘手
内心	内心
働き	作用
付加	附加
両親	双亲
両立	兼顾
ミゴー	米戈
プラス	加号
ビーチ	海滩
バニー	兔女郎
チャイム	钟声
コレ	这个
お迎え	迎接
駆使	活用
離脱	脱离
過剰	过量
自覚	自觉
自爆	自爆
縄	绳索
競合	竞争
灰	灰烬
淫力	淫力
標準	标准
曰く	据称
日常	日常
教師	教师
所有	持有
姉ちゃん	姐姐
妄想	妄想
反転	反转
即時	立刻
単位	单位
全知全能	全知全能
事前	事前
万能	万能
一括	批量
メス	雌性
プカルル	普卡鲁鲁
フィニッシュ	终结技
バウンス	弹跳
ニューイヤー	新年
トレジャーボックス	宝箱
スロット	老虎机
カラー	配色
エース	王牌
お仕置き	惩罚
高水準	高水准
隊員	队员
長期	长期
連呼	反复呼喊
謝罪	道歉
観察	观察
規定	规定
衆人	众人
蔵	仓库
背後	背后
考え	想法
独自	独有
無敵	无敌
浮浪	流浪
概要	概要
招き猫	招财猫
態度	态度
意志	意志
意外	意外
性的	性相关
応援	支援
後述	后文
彗星	彗星
妙	奇妙
不安	不安
ヴィアール	维亚尔
ユカ	优香
ヤバ	不妙
メリー	玛丽
メガネ	眼镜
ハメ	插入
ショウコ	翔子
ササ	纱纱
コスパ	性价比
キャッシュ	现金
オナホ	飞机杯
オタク	阿宅
オウカ	凰香
イデア	理念
類似	类似
襲撃	袭击
苦労	辛苦
紐	细绳
申し訳	抱歉
潮	潮液
淫紋	淫纹
殺人	杀人
桜	樱花
東	东方
探索	探索
少年	少年
女王	女王
天秤	天秤
和姦	和奸
代表	代表
主要	主要
一体	一体
ビブリエル	比布利艾尔
トラブル	纠纷
ション	射精
ケイブリス	凯布利斯
クミコ	久美子
駄目	不行
順	顺序
話題	话题
視聴	观看
舞台	舞台
自慰	自慰
自室	自己房间
肉襦袢	肉襦袢
考え方	思考方式
箱船	箱船
章	章节
神州	神州
気配	气息
楽しみ	期待
昂奮	兴奋
整理	整理
推定	推定
慎重	慎重
恋愛	恋爱
名義	名义
具体	具体
全滅	全灭
充実	充实
企業	企业
一致	一致
一員	一员
一ノ瀬	一之濑
リーダー	队长
バグ	BUG
タコ	章鱼
ソース	源码
コラボキャラ	联动角色
クレイ	克莱
キー	钥匙
ＮＡＵ	ＮＡＵ
１つ	一个
道具	道具
赤ちゃん	婴儿
護衛	护卫
膜	薄膜
翌日	次日
総数	总数
空き	空位
疑問	疑问
理性	理性
犯罪	犯罪
無難	稳妥
無知	无知
消し	消除
性器	性器官
守護	守护
奇跡	奇迹
口調	语调
双葉	双叶
再開	重启
具合	状态
倍数	倍数
個性	个性
仮面	面具
今更	事到如今
今年	今年
中断	中断
上着	外套
ユリッペ	尤莉佩
モブ	路人角色
ブラック	黑色
ヒビキ	响
パステル	浅色系
スーツ	西装
ジュカ	珠香
ガキ	小鬼
エスカリバース	超昂反向世界
アトラク	游乐设施
アステ	阿斯特
アオイ	葵
順位	排名
鞭	鞭子
軒並み	一律
誰か	某人
視点	视角
肝心	关键
絵柄	画风
真価	真正价值
相殺	抵消
生命	生命
特典	特典
牢屋	牢房
月下	月下
手引き	指引
悪鬼	恶鬼
当たり前	理所当然
師匠	师傅
実況	实况
完璧	完美
大股	大开腿
分身	分身
侵攻	入侵
人妻	人妻
不発	失效
レブエル	雷布艾尔
ラブホ	情人旅馆
ラッキー	幸运
ミニシワトル	迷你希瓦托尔
テクニック	技巧
ダイラスト	戴拉斯特
スク	斯克
オン	开启
エリス	爱丽丝
アニバーサリーイベント	周年活动
お茶	茶水
都	都
負け	落败
蓄積	累积
統一	统一
紅	红
系統	体系
競争	竞争
登録	登录
渚	渚
果て	尽头
是非	务必
新人	新人
帝国	帝国
工場	工厂
妻	妻子
大差	巨大差距
同人	同人
勃	勃起
前線	前线
前半	上半场
先発	首发
体質	体质
上乗せ	追加
メグ	梅格
マッハ	马赫
マスター	大师
ホテル	酒店
プレ	预
バインドシーカー	寻缚者
ディアロール	迪阿罗鲁
スタンダード	标准
スイート	套房
シーフラスト	希弗拉斯特
ケア	护理
ＥＸＰ	经验值
黒子	黑子
首輪	项圈
腔内	腔内
終章	终章
真実	真相
牛女	牛女
浴衣	浴衣
浄化	净化
気絶	昏厥
歴代	历代
正気	理智
来年	明年
朝	清晨
時刻	时刻
振り	挥动
択	选择
抜き	除去
悶絶	闷绝
後回し	延后处理
役目	职责
工作	谍报工作
分類	分类
代償	代价
中途半端	半途而废
上司	上司
リシュリー	黎塞留
ベラトリクス	贝拉特莉克丝
フェスキャラ	活动限定角色
フィールドデバフ	场地减益效果
ビキニ	比基尼
パパ	爸爸
ハル	哈尔
テコ入れ	加强调整
チャラ	轻浮
スマホ	智能手机
サイコー	超棒
オニキス	玛瑙
お宝	宝物
魔物	魔物
魔法使い	魔法师
頻繁	频繁
錬金術	炼金术
釣り	垂钓
野郎	家伙
野球	棒球
重宝	备受重视
部類	类别
近所	附近
豚	猪
装着	佩戴
行使	行使
舌	舌头
自在	自如
罰	惩罚
続行	继续
空中	空中
移転	转移
片足	单脚
満喫	尽情享受
派手	张扬
気質	气质
死神	死神
本格	正统
最低限	最低限度
旅行	旅行
敵陣	敌方阵地
救い	救赎
搭載	搭载
挑発	挑衅
怨玉	怨玉
強引	强硬
強大	强大
市	城镇
少数	少数
家系	家族血脉
大陸	大陆
右手	右手
博士	博士
前者	前者
冷静	冷静
優位	优势
僅か	少许
令嬢	大小姐
乗算	乘法
丸出し	完全暴露
並行	并行
不利	不利
下僕	仆从
ーー	——
ローター	震动器
ロリコン	恋童
リーザス	利萨斯
ハダル	哈达尔
トレーニング	训练
ッス	的说
ジャンル	类型
コントロール	操控
ゲッカ	月华
ギリギリ	极限
アルファ	阿尔法
お金	金钱
ＤＤＤ	DDD
龍造寺	龙造寺
飛行	飞行
青葉	青叶
陸上	陆上
誕生	诞生
笛	笛子
知恵	智慧
白銀	白银
班	小队
派閥	派系
母親	母亲
死亡	死亡
極端	极端
掲載	刊载
快適	舒适
左手	左手
容姿	容貌
嬌声	娇吟
大胆	大胆
大切	重要
嘘	谎言
匹敵	不相上下
劣化	劣化
創作	创作
刺激	刺激
別人	判若两人
初速	初速度
出身	出身
入力	输入
侵略	侵略
使用人	佣人
伊藤	伊藤
事後	事后
中盤	中盘
不幸	不幸
レジェンドバフ	传说级增益
リリアム	莉莉安
ピロートーク	枕边闲聊
バリエーション	变体
ハー	哈
ハンター	猎人
デブ	胖子
スパイ	间谍
ステップ	步伐
シャムエル	夏穆埃尔
エンジェル	天使
イカ	鱿鱼
アップバフ	增幅增益
馬鹿	笨蛋
隣	隔壁
防止	防止
返り討ち	反杀
親父	老爹
親友	挚友
見劣り	逊色
義手	义肢
羞恥心	羞耻心
細菌	细菌
精鋭	精锐
相棒	搭档
目隠し	蒙眼
現象	现象
特大	特大
無事	平安
漆黒	漆黑
清楚	清纯
涙	泪水
機関	机关
本家	本家
月子	月子
時間切れ	时间耗尽
日記	日记
救済	救济
指導	指导
怨念	怨念
嫌悪	厌恶
嫌い	讨厌
始め	开端
地域	地区
回想	回忆
剛毅	刚毅
共有	共有
久しぶり	许久未见
主戦	主战
上手	擅长
レイナ	蕾娜
マナヅル	真鹤
ブロック	格挡
ブルー	蓝色
フォント	字体
パロディ	戏仿
バラ	玫瑰
スピード	速度
ケツ	臀部
クッション	缓冲垫
ギミック	机制
エテ	艾特
イン	进入
アヘ	高潮喘息
お年玉	压岁钱
鮫肌	鲨鱼皮
鬼神谷	鬼神谷
週	星期
設計	设计
解消	解除
藤宮	藤宫
苦戦	苦战
羞恥	羞耻
絶叫	惨叫
純白	纯白
神社	神社
用語	术语
牢	牢房
滝太郎	泷太郎
滅茶苦茶	乱七八糟
淫ら	淫荡
永遠	永恒
歴史	历史
止め	阻止
椅子	椅子
村人	村民
曜日	星期
映像	影像
早期	早期
拡散	扩散
戦略	战略
性欲	性欲
左下	左下方
実戦	实战
守り	防守
妖怪	妖怪
大神	大神
器用貧乏	样样通样样松
勢い	气势
別館	别馆
処置	处置
共闘	协同作战
入門	入门
保管	保管
会場	会场
三男	三男
ヴィクトリア	维多利亚
リメイク	重制
ラブ	恋爱
ユウガ	夕贺
ムチ	鞭子
マッキンリー	麦金利
プロローグ	序章
ハニーエル	哈尼艾尔
ノリ	兴致
ドーラ	朵拉
トータル	总计
トリガー	触发
ソニック	音速
スケートル	斯凯特鲁
シルエット	剪影
ショー	演出
サーヤ	纱耶
ゴミ	垃圾
コール	呼叫
ギャグ	喜剧桥段
カンザエル	坎扎艾尔
オチ	收尾笑点
エクシ	艾克西
かけ声	呐喊声
ＧＯ	出发
魚	鱼
騒動	骚乱
阻害	阻碍
通信	通讯
調査	调查
課題	课题
結婚式	婚礼
紗	纱
真っ赤	通红
真っ当	正当
相方	搭档
注射	注射
汗	汗水
毎週	每周
次男	次子
望み	愿望
文句	抱怨
散々	受尽苦头
攻め	进攻方
抽選	抽签
恭平	恭平
思い出	回忆
忍術	忍术
必死	拼死
彦	彦
導	引导
実施	实施
天道	天道
多分	多半
外部	外部
同値	等值
受精	受精
友	朋友
厳密	严密
半額	半价
半端	不完整
全般	整体
党首	党首
使命	使命
主張	主张
主人	主人
上半身	上半身
一掃	一扫而空
ブーケ	花束
ブルマ	运动短裤
フクシュウチャン	复仇酱
トラウマ	心理创伤
ディープキス	深吻
タイムアップ	时间到
セクシー	性感
スリップ	走光
シルキィ	丝琪
キラー	杀手
アタシ	人家
ご覧	请看
ﾎﾞｽ	首领
雑談	闲聊
金額	金额
選出	选出
距離	距离
装束	装束
菜	菜肴
自称	自称
繋ぎ	衔接
総量	总量
緊急	紧急
素質	资质
突撃	突击
科学	科学
真相	真相
略称	简称
男根	男根
瑠理	瑠理
牢獄	牢狱
水曜日	星期三
毎年	每年
桃色	桃色
格闘	格斗
最小	最小
暫定	暂定
暁	拂晓
明言	明言
撃目	打击目标
撃特化	特化攻击
披露	公开
手法	手法
怪我	受伤
応用	应用
弱体	弱化
引き	牵引
干渉	干涉
巨乳	巨乳
夫	丈夫
天井	天花板
変動	变动
和装	和风装束
勉強	学习
兼ね合い	平衡取舍
信号	信号
体制	体制
体内	体内
付近	附近
付け	附加
両者	双方
一転	形势逆转
ワイ	哇
レース	蕾丝
レジェンドハルカ	传说遥香
ポテンシャル	潜力
パワーアップ	强化
パイ	胸部
バル	巴尔
バット	球棒
ハニーサマーワールド	夏日甜心世界
ハニワ	埴轮
デビュー	初次登场
チャンス	机会
チェンジ	切换
ジョイフラスト	乔伊弗拉斯特
シチュエーション	场景
ガイド	向导
オフ	关闭
エフェクト	特效
イチモツ	男根
その間	这段期间
お正月	新年
お姫様	公主
ｽﾀﾝ	眩晕
鈴森	铃森
遊び	游玩
通称	通称
追記	补充记载
諜報	谍报
誤差	误差
補給	补给
脅威	威胁
罪	罪孽
空気	气氛
程	程度
破魔矢	破魔箭
皆さん	各位
発展	发展
無数	无数
無力	无力
滞在	逗留
正確	准确
暴帝	暴帝
時限	时限
放送	播放
投稿	投稿
思想	思想
心得	心得
形状	外形
延命	续命
常世	常世
小説	小说
天空	天空
変形	变形
増減	增减
回り	四周
四つん這い	四肢着地
同期	同期
単騎	单体
初代	初代
出自	出身
写真	照片
冒頭	开头
内部	内部
兄ちゃん	老哥
人生	人生
主流	主流
不良	不良
リアル	现实
メタ	元设定
ベスト	最佳
ベアー	熊
プロ	专业
ビーム	光束
ナクア	纳库阿
トップタイ	顶级联赛
デュエル	决斗
テーブル	桌子
テンション	情绪
ザトゥーナ	扎图纳
コンプリート	收集完成
ケーキ	蛋糕
エイム	瞄准
ウミ	海
アマ	天
アウト	出局
ﾃﾞﾊﾞﾌ	减益效果
ＤＤ	DD
黒門	黑门
雷撃	雷击
間奏	间奏
配慮	关照
転生	转生
見出し	标题
要因	诱因
行方	去向
華麗	华丽
膨大	庞大
繋がり	关联
綺麗	漂亮
節制	节制
矛盾	矛盾
真っ先	率先
環視	环视
猿	猿
煉獄	炼狱
深窓	深闺
淫乱	淫乱
水準	水准
植物	植物
本命	本命
昇格	升格
放尿	排尿
房	房间
愛情	爱意
思慮	思虑
後発	后手
当人	本人
弓	弓
年上	年长
左側	左侧
尊敬	尊敬
寄生	寄生
嫁さん	妻子
同日	同日
切り替え	切换
出演	登场
個体	个体
代替	替代
交戦	交战
主体	主体
中級	中级
不安定	不稳定
ローション	润滑液
リッタ	丽塔
ヘル	地狱
ヘプタスロン	七项全能
プリズン	监狱
ピストン	活塞运动
パーツ	部件
ハナコ	花子
ハイブリッド	混合
チェーンソー	电锯
スケベ	好色
シャオ	萧
サメ	鲨鱼
コメ	评论
コミュニケーション	交流
クロエ	克洛伊
カンタービレ	如歌地
インナー	内衣
お気に入り	珍藏
④	④
面積	面积
集め	收集
進化	进化
身長	身高
路線	路线
超絶	极致
豪華	豪华
調子	状态
融合	融合
藤島	藤岛
自我	自我
老人	老人
絶	断绝
競技	竞赛
禁物	禁忌
着目	着眼
皆無	完全没有
無意識	无意识
海岸	海岸
武芸	武艺
服従	服从
旦那	夫君
教育	教育
敏感	敏感
忍び	忍者
従来	以往
引退	引退
宴会	宴会
実現	实现
孤児	孤儿
威厳	威严
天岩戸	天岩户
増幅	增幅
困惑	困惑
同名	同名
危機	危机
午前	上午
初夢	初梦
出来	完成
出向	外派
六連	六连
修業	修行
信者	信徒
余り	剩余
体位	体位
会社	公司
乱暴	粗暴
世話	照料
リード	引导
ライバル	对手
ユキノ	雪乃
マングリ	口交
マルチ	多重
マネージャー	经纪人
フン	哼
ネット	网络
トロ	黏腻
チョコット	巧克力
チアガール	啦啦队员
ダル	迟钝
スリー	三
スペース	空格
ストック	库存
カズハ	一叶
イチャラブ	甜蜜恩爱
アマネ	天音
いた事	曾经发生过
ﾊﾞﾌ	增益效果
２つ	两个
麗	美丽
風雲	风云
電流	电流
隙間	缝隙
鍛錬	锻炼
配下	部下
部門	部门
部員	成员
近年	近年
警戒	警戒
誤認	误认
誤解	误解
誘惑	诱惑
誘導	诱导
誅滅	诛灭
膝	膝盖
翻弄	玩弄
美少女	美少女
経歴	经历
紆余曲折	曲折
種族	种族
短期	短期
着物	和服
目前	眼前
痴漢	痴汉
理系	理科系
王道	王道
流用	挪用
注入	注入
正解	正解
楽勝	轻松取胜
書き方	写法
方面	方面
新興	新兴
断	断绝
撃時	攻击时
拠点	据点
成果	成果
性行為	性行为
心臓	心脏
御苑	御苑
御子柴	御子柴
形式	形式
弟子	弟子
引き換え	作为交换
常人	普通人
尾	尾巴
失礼	失礼
夫婦	夫妻
垣根	隔阂
唱姫	唱姬
君枝	君枝
同位	同位
右側	右侧
反対	相反
制作	制作
余談	题外话
何者	何人
体型	体型
代物	货色
丼	盖饭
主導	主导
一長一短	各有优劣
ランカー	排名玩家
マジカルブライド	魔法新娘
プレイスタイル	游玩风格
ブレイクボール	破球
ブッパ	全力输出
トス	托球
トイレ	厕所
ダム	水坝
タゲ	目标
スマ	智能手机简写
コミュ	社群
コピペ	复制粘贴
クーレー	库雷
クール	冷酷
クレナイ	绯红
カナリア	金丝雀
カスタム	自定义
オマージュ	致敬
オズウェル	奥斯威尔
アホ	蠢货
ＯＫ	可以
鳳	凤
騎士	骑士
電撃	电击
遭遇	遭遇
連射	连射
責任	责任
豊富	丰富
諸島	群岛
装い	装束
表向き	表面上
群れ	群体
繁華	繁华
簡潔	简洁
称号	称号
相互	互相
発表	公布
男優	男演员
現時点	当前
狼	狼
物語	故事
満	满
深夜	深夜
油断	大意
殺害	杀害
極太	极粗
本物	真品
有益	有用
最小限	最低限度
曖昧	模糊
時折	时而
昨日	昨天
明記	写明
断罪	断罪
排除	排除
憑依	凭依
幻惑	幻惑
平凡	普通
嵐	风暴
審判	审判
察知	察觉
学習	学习
奥義	奥义
大まか	大致
堕天	堕天
四肢	四肢
古野	古野
反動	反作用
区分	分类
動力	动力
勇者	勇者
剣士	剑士
判別	辨别
初め	最初
凶悪	凶恶
再会	重逢
光線	光线
余地	余地
位	等级
人魚	人鱼
交渉	交涉
事項	事项
一夜	一夜
ロス	损失
リョナ	凌辱
リジェネ	持续恢复
ユイ	由衣
ムービー	影片
マシン	机械
フラッシュ	闪光
ビートポータル	节拍传送门
ビジュアル	视觉
パネルブレイク	面板击破
バス	巴士
ドライブ	驾驶
タオル	毛巾
ソート	排序
スケジュール	日程
スカーフ	围巾
ジブリール・ゼロ	吉布里尔零号
シヅカ	静香
ザコ	杂兵
サポ	辅助
クローン	克隆
クルーズ	巡航
クリスタル	水晶
キャラクターアイコン	角色图标
アンケート	问卷调查
アレンジ	改编
アイテムガチャ	道具抽卡
やり方	做法
