[694] くあぁ……深夜アニメリアタイしてて、寝不足……。
[1202] おめでとう、ジャックポットよ。
[1203] サレンダーがお薦めよ。
[1204] ダブルダウンよ。
[1205] ショーダウン！あら、良い手が。(聞き取りづらい場合、設定画面のサウンドのタブにて音声以外をミュートにすると聞き取りやすい)
[1206] あうっ
[1207] ツキがないかな…
[1208] 今夜は負けね…。
[1209] うぁあ……頭領の手……エッチだよぉ。
[1210] はぁ……はぁ……ぁ、こんなの……初めて……っ
[1211] んんん！んっ！んっ！んう、んひぃ！イク！イク！イクうううう！
[1212] 閃忍ツルコ！いっくぞぉー！
[1213] 勝った勝ったー！お祭りだぁー！！
[1214] せええええい！
[1215] どっっっせえええええい！！
[1216] きゃっ…いきなり触らないで！え？ゴミが付いてた？おぉ？あ…ありがとうございます。
[1217] 長官さん、このあと一緒にお茶でもしない？ホットケーキくらいなら作ってあげるわ。
[1218] このコスチュームが恥ずかしくないか、ですか？うーーん、慣れちゃったけど…お腹が寒いかも…
[1219] 長官さん…少しだけ寄りかからせて？うん…悪くないかな…
[1220] 長官さん！どこ？街の平和は大丈夫かな…
[1221] 私はノロイ党と戦う閃忍として育てられたの。いろいろあったけど…今は一人前の忍びよ。
[1222] 長官さんって少しタカマルに似てる？ああ、ごめん！長官さんもカッコい…あああぅん…そうじゃなくて！んんん…！
[1223] この基地って凄いですね…元の世界にもあればいいのにな…
[1224] あれ？長官さん、今、お腹が鳴った？何か精がつくもの作ろうか？
[1225] 長官さん、私の顔じーーと見て、どうしたの？もしかして可愛いとか思うって？うーん（赤面）…冗談ですぅ…
[1226] ねぇ～え…長官さ～ん！んもう…放置プレイは好きじゃないかな～
[1227] あれ？どこなの、長官さん？…ちょーーーかんさぁーーーん！！
[1228] うんっ！いい感じ！
[1229] 凄い、これが長官さんの力……！？
[1230] あんっ、あんんっ！ん、んあああ！？
[1231] 私の手裏剣で切り拓くんだから！
[1232] ナリカにお任せよ。
[1233] お疲れ様。帰ってみんなでご飯にしましょ。
[1234] やったわ！ナリカ、ビクトリー！
[1235] 当たれぇ！
[1236] 行くわよ！
[1237] はああああ！
[1238] でええええい！
[1239] みんな纏めて燃えちゃえ！『鋭・紅破旋空』！
[1240] 痛った！？
[1241] ううう、ごめんね……。
[1242] 悪鬼彷徨う現の闇を、払うは月影。我、上弦なり。想破上弦衆が閃忍、ハルカ、見参！
[1243] ご心配はご無用です。戦（いくさ）は星の数ほどしております。
[1244] あっ…心得ました…鍛錬が終わりましたら、ゆっくりチャージいたしましょう…
[1245] あっ…トキサダ様…今触りたいのですか？んん…少しだけですよ？
[1246] ああん…トキサダ様に触れて頂くと、心身安らいでゆく気が致します。
[1247] このクナイの名は滴（しずく）。五月雨のように敵に降り注ぎ、穿ちます。
[1248] トキサダ様…お休み中でしょうか？どうぞ…ごゆっくりされてください。
[1249] トキサダ様？目が潤んでますよ？Dチャージでしたらお部屋で務めましょう。
[1250] はい…トキサダ様が今の私の主君です。あなたが望まれるだけ、こうして傍におりますよ？
[1251] ん…なんでしょう…？そんなにじっと見つめられると…困ります…
[1252] この制服、元いた世界で通っていた学園と同じものです。不思議ですよね…違う世界なのに同じ制服があるなんて…
[1253] ふぁぁああ…すみません！気が抜けていました！
[1254] あの？トキサダ様？いらっしゃいますか？？
[1255] まだまだです。もっと強くなります……！
[1256] 私にもさせてください……ぁあ！
[1257] あっ！そこは……あああ！！
[1258] な、何をする気なんですか！あ、ああぁぁぁぁぁ！！
[1259] 及ばずなが、助太刀します！
[1260] これが上弦の力です！
[1261] 忍務完了。
[1262] でやぁ！
[1263] でぇやああああ！
[1264] 天雷よ、我が敵を撃て！穿・四閃五月雨！
[1265] きゃあぁあ！？
[1266] ありがとうございます！大事に致します！！
[1267] このように立派な贈り物な物…ハルカは果報者です！
[1268] こんな事してあげるのは……貴方にだけ、ですよ？
[1269] やん！？そんな所、夫にも見せた事無いのに…！？
[1270] んううう！？戻れなくなっちゃうう！！
[1271] 装身！天衣霧縫！
[1272] 幸せな生活を守るためなら！
[1273] はいっ！
[1274] てぃ！
[1275] そぉーれ！
[1276] 吹き飛んでください！『粉塵爆砕・万物業破』！
[1277] 駄目ぇ！？
[1278] くぅ！？
[1279] ふわわは…幸せではないのでしょうか。
[1280] こぉんなに汁垂らして、だらしねえヤツだな…（ジュッジュル！チュ！）
[1281] 必殺技使用時
[1282] 終わりだよ……闇に抱かれて溺死しろ
[1283] 久世上弦衆、七暴の四位、闇の奉輪こもり。特技は暗殺…それくらいかな…
[1284] んん、んんん…ふぁ、あ……ふあ、あああ！？
[1285] 長官、み、見ないで！んぅ！見ないでぇ！
[1286] んああ、長官の、が……ぁ、感じて、あああ！！
[1287] 終わりだよ。闇に抱かれて溺死しろ！
[1288] 今、触りましたぁ？うふふん…やんちゃですね…（怒）
[1289] あまり触らないでください、訴えますよ。
[1290] あなたも大概、不思議な方ですね…
[1291] 私みたいな女を秘書において…さて、狙いはなんでしょう？
[1292] 私の前でスヤスヤ眠るなんて…やれやれ…調子の狂う人ね…
[1293] 鬼だなんて呼ばれていますが、こう見えて、私も優しいところがあるんですよ？うふふ…試してみます？
[1294] 長官のサポート、気は進みませんが、これも仕事ですねぇ…
[1295] コーヒー、淹れました。よろしければ、どうぞ。
[1296] できれば、あまり触らないで頂けると、助かります。
[1297] 手が止まっておりますよ？長官…
[1298] お疲れのご様子ですね？あなたはいつも無理しすぎなんですよ。
[1299] 長官とは良い立場ですねぇ？皆が忙しく働いてる中でも、ぼーっとできるんですもの。
[1300] さらに強くなってしまいますね……？
[1301] いやぁん！？ああぁあおぉう！？
[1302] んはあ、はあうぅ！？
[1303] 初めまして。キレー・アルノーです。私の目的地になっていただけますか？
[1304] んっ、んんっ…。
[1305] んあぁ、あっあっぁ！？イ、イッちゃううぅううう！？
[1306] んぁ、あっあっあん！ああん！
[1307] そんな…まるで薄い本…みたい…
[1308] えへへ…ありがとうございます。嬉しい…
[1309] わ…私にですか？
[1310] えーっ、いいの！？ありがとー！
[1311] 何処まで役に立てるかわからないけど、頑張るから！
[1312] ん、どうしたの？トキサダさん
[1313] うん、こっちはもう準備できてる
[1314] がんばるよ、がんばってみる
[1315] うぅん、視線が、すけべなんだけど
[1316] 変身したんだけど、命令、まだ？
[1317] 指示待ちなんだけど、私はどうすればいい？
[1318] 何？トキサダさん
[1319] ……何か、用事があるんじゃないの
[1320] ひゃっ！す、すけべ
[1321] いい加減にしないと…怒るよ
[1322] ……ほったらかされて、暇なんだけど
[1323] ふわあ…ん、ねむぅ……
[1324] ミツバ、全力で行くよ！魂のアストラ！
