[1] やったぁ、強くなってる！
[516] 私の出番のようね！
[517] 鎮圧を開始するわ！
[518] はっ！
[519] 反省なさい！
[520] くっ…ここまでみたいね。
[521] 恋する二人を祝福するため、胸の鼓動が鐘をつく！ブライドエスカレイヤー、愛の現場にただいま参上！
[522] ううぁ…この格好、少し恥ずかしいです…
[523] きあぁぁ…い、今、触りましたか？
[524] ブライドエスカレイヤー、任務とあらばいつでも戦います！
[525] あっ…やっぱり気になりますか？うう…ちょっと布地が…
[526] 一緒に頑張って平和を取り戻しましょうね？
[527] 長官さん…あ、あんまり見ないでくれると…あっ、いえ、そんなこと言っちゃいけませんね。
[528] あっ、Dチャージですか？はい、私はいつでも大丈夫です。
[529] ふふ…ちょっと恥ずかしいけど、でも、やっぱりウエディングドレス、可愛くて綺麗で、素敵…
[530] 長官さん？…あのぉ…どうかしましたかぁ～？眠っちゃったのかな…？
[531] もーっと、強くなりました。
[532] ふぁあん！ふ、あああああぁん！？
[533] っ！駄目です、そんな所――ぁあ！？
[534] ダメ…来ないでください！い…いやぁぁああああ！！！
[535] わあぁ、ありがとうございます！
[536] 大事にしますね…うふ！
[537] 高円寺沙由香の妹の高円寺マドカです。こう見えて実は高性能な汎用支援型決戦兵器なドロイドです。よろしくお願い致します。
[538] この姿勢で待ち続けられるのが有能メイドロボの真骨頂と言えましょう。えっへん。
[539] 武装がむずむずと…これは暴発してしまうかも知れません。
[540] 強化出来ました。主に精神面を。……冗談です。
[541] これは……私の強化プランに……っ、入って、ない。入って、ぇ……っっ！
[542] ふあああ、ああ……あたたかい……はあ、ぅう！！
[543] このままでは敵の手に…ぁぁああああ！！！
[544] 私が行くのですか？ ロボ使いの荒い人ですね
[545] 救援ならばお任せです
[546] 戦闘勝利時1
[547] ちゃらちゃーん♪ 勝利のファンファーレを鳴らしてみました
[548] 戦闘勝利時2
[549] 勝利の栄光を、貴方に！
[550] えい
[551] 攻撃します
[552] ていやー。
[553] システム起動...ヘルファイア
[554] んにゃーーー
[555] ダメージ軽微
[556] 戦闘不能。離脱します
[557] これは！！…大事に使わせてもらいます。
[558] あぁ…あの…この気持ちが…「嬉しい」ということなのでしょうか？
[559] んもう、がっつき過ぎ。んっあっ、んぁ……ん、おっぱい、ばっかり……！ん、はあぅ！？
[560] っは、もっと……っ！もっと、してぇ……あっ！もっと乱暴に、してぇえ！！ん、あ……んあああ！！
[561] んんんっ！？すっごい出てる……おっぱいドロドロにされちゃったぁ。
[562] これでどーぉ？
[563] みーんな、ピンク色に、して、ア・ゲ・ル♪
[564] 《三の裁刀》イザナエル、一振りの刀として、貴殿の下で戦おう。突撃なら、私に任せろ！
[565] 聖鎧を身に纏うと、心が高揚する。早く、仲間達と共に、戦場を駆けたい……！
[566] この基地は、いい場所だな。寛げる空気でありながら、適度に緊張してもいる。
[567] 相手の攻撃が届く前に、こちらの。言うが易いが
[568] あっ、あぁ…！触れるのなら、一言声をかけてくれ…この身体になってから、肌が過度に敏感になってしまって……。
[569] 天界では、斬り込み部隊を率いてた。皆、真面目で誠実で優秀なのだが……人の言う事を聞かないのが玉に瑕だ。
[570] 早朝の鍛錬は、身も心も引き締まる！夜の9時に寝て、朝の3時に起きるというのが理想だな！
[571] 戦士にとって、大きな声を出せるというのは一つの才能だ。敵を威嚇するにも、
[572] 基地での生活、楽しませてもらっている。様々な能力と技術を持つ戦士達と、手合わせできるのが何より素晴らしい！
[573] 私はどうも、機械の類と相性が悪くて……触ると……すぐに、壊してしまうんだ。さっきも……つい、やってしまった。すまない……。
[574] 時間があるなら、鍛錬に付き合ってくれないか？地上で編み出された武術の妙技、この身で学んでみたいのだ。
[575] カラオケ……！あれは実に素晴らしい娯楽だ！どれだけ大きな声を出しても、誰も文句を言われない！
[576] あまり根を詰め過ぎては、却って能率が落ちてしまうもの。良き鍛錬には、良き休息が必要だ。
[577] ありがとう。長官殿のおかげで、また一つ、強くなれた。
[578] ああっ……！そこ……ぅ、そこ、もっと……触ってぇ……。
[579] ああっ！ああ、あぁ……！こんな気持ちいいの、初めて、だぁ……！
[580] 私の負けだ…この身、貴様の好きにするがいい…
[581] いざ、吶喊！
[582] ホーリーアムド！ヴァルキュリエ・イザナエル！
[583] 三の裁刀イザナエル！いざ、参る！
[584] 神刀カゲロウの錆にしてくれる！
[585] 我らの勝利だ！勝鬨を挙げろ！
[586] 一つ一つ、確実に勝利を重ねて行こう。
[587] てりゃあ！
[588] ふぅっ！
[589] 推して参る！
[590] 吶・喊！
[591] 甘い！
[592] 全てはこの一刀に！悪業裁刀！ケガレバライ
[593] 九の護銃メイファール、今日よりダイビートの一員として戦います。トキサダさんの御身、必ずお守り致します！
[594] 剣や槍、斧に比べると、銃は軽いもの…けれど、その引き金はとても重いのです。
[595] 護衛のお仕事には「ひたすら待つこと」も含まれます。大切なのは長時間の待機でも集中力を切らさないことですね。
[596] 今日は、お散歩日和です。外出の際は警護致しますので、一言、お声を掛けてくださいね。
[597] 神銃オルトロスは攻防一体の武器です。ただ敵を撃つだけではなく、仲間を守るための障壁を発生させることもできるんですよ。
[598] 勇猛で忠実で嗅覚は鋭くて…ああん…地上ではワンちゃんが要人警護の環境で活躍することも多いようです。
[599] 平和を望むならば戦いに備えよ…昔の人が残した格言です。
[600] 柴犬、ブルドック、シベリアンハスキー、チャウチャウ、ゴールデンレトリバー…ああ、どのワンちゃんも可愛くて素敵です！
[601] ダイビートに来てから、他の九大神騎と話すことが、前より増えました。みんな、地上に馴染もうと、頑張っているようです。
[602] さっき、お散歩中のワンちゃんに会いました！手を振ったら、尻尾を振り返してくれて…ああ、思い出すだけで幸せになっちゃいます。
[603] 視力が悪いわけではないのですが、眼鏡があると集中力が上がるので、非戦闘時には掛けるようにしているんです。
[604] 警護役だからという理由だけではなく、ずっとずっとあなたのおそばに居たいと…そう思います
[605] ワンちゃんを題材にした映画って、飼い主さんとのお別れを描くモノが多くって…んん、観ていると涙が止まらなくなっちゃいます。
[606] ワンちゃんの嗅覚は人の数千から数万倍も強いそうです。時間感覚も匂いで認識しているのだとか…
[607] あん…ん…んんあぁ…もっと深くキスしてぇ…あん…ん…もっと、奥まで来てください！
[608] 力が…守るための力が…湧いてきます！
[609] ああ…私の体…今、とっても熱くなってます！
[610] 大切な人を守れるなら…この身…汚されようと…
[611] アリーナァァァ！！（注：ライブ会場のこと）
[612] 想破上弦衆、七閃が四位、光のシリカ、見参。ふふ…よろしくお願いしますね、頭領！
[613] ふふっ！光のシリカ、頑張ります！
[614] ひ、っ……一人でするより、凄い……です。
[615] やぁん！？ぁ、見ないでぇ…！
[616] うぅ…なにも…言えません…
[617] 九大神騎ラブディエル、推参！！地上に蔓延る罪悪の悉く、この手で刈り取ってみせよう…
[618] ん、んううう！身体全体がふわふわする……気持ち良い。
[619] んっ、（
[620] ジュルル、ジュル
[621] ）んん（
[622] チュチュ、チュル
[623] ）ん、んふぅ……変な味だが……悪く、無い。
[624] ん、くっは、くぁあ！？もっと……もっと、感じさせてくれぇ！
[625] どこを見ている？
[626] この私が、墜とされるとは…！
[627] 六の法杖セラフィール、参りました。世界の安寧を取り戻すため、及ばずながらお手伝いさせて頂きます。
[628] 治癒の奇跡を使っても、心の傷は癒せません。だから、たくさんの言葉を交わして、仲間の悩みや苦しみを、少しでも和らげたい……。
[629] 傷の治癒なら任せてください。私の扱う奇跡は、全てそのためにあるのですから。
[630] 私のからだ、そんなにいっぱい見つめて……さてはトキサダさん、ロリコンですね？
[631] ふあぁ！？あ、ぁあの！　触るのは構いませんが、急に触られると、びっくりして、しまいます……。
[632] 指の先、ケガしてませんか？舐めて、治してさしあげますね。
[633] こうして触れ合っていると、心が落ち着きます。もっとあなたに触れていたい……。
[634] 傷ついた人々を癒し、未来を守る。私、これからもずっと、あなたにお仕え致します。
[635] 私の聖鎧、「すくみず」というものにそっくりらしいです。今度、本物の「すくみず」、着させて頂けませんか？
[636] 治癒の奇跡で、スタミナは回復するか、ですか？　ふふっ。今から試してみます？
[637] コミュニケーションを円滑にするためには、スキンシップが大切です。どうぞ、たくさん私に触れてください。
[638] 何か、お手伝いできることはありませんか？　あなたの為なら、どんなことだって、致します。
[639] 私のおむね、ぺったんこで、少し恥ずかしいです。揉むと大きくなるとのことですが……手伝って頂けますか？
[640] あの、お時間あるようでしたら、私と、お、お話、しませんか？
[641] 膝枕、させて頂けませんか？　私のふとももの上で、あなたが眠る姿、見てみたくって。
[642] あとで、お部屋に伺ってよろしいでしょうか？　その……Dチャージを、して頂きたくて。出来れば、朝まで、たっぷりと♪
[643] ふふふ。今日も一緒ですね。なんだか……とっても幸せです♪
[644] 人と手をつないで歩くの、好きなんです。心がとっても落ち着いて……それに、逸れる心配がありませんから。
[645] 昔の偉い方には、お添い寝役が付いたらしいのです。私に、その役、させて頂けませんか？
[646] んん……ああ……。力が、沸いてきます。
[647] そこっ！　そこ、気持ちいです。もっと触ってください……。
[648] あっ！　はっ……ああ……っ。貴方とずっと、こうしてたい……です……。
[649] あぁ、だめぇっ！　そこは、あの人のものなのに……。
[650] はい、セラフィール、参ります。
[651] 怪我の治療は任せてください。
[652] 皆さん、お怪我はありませんか？
[653] ふぅ。なんとか勝てましたね。
[654] 浄化法杖……ヒール・フィールド！
[655] だめぇっ！
[656] ご、剛毅のレヴィ…みんなを護るために、頑張る。
[657] ５はゴーレムの５．うん、強そう。モーレムとかヌーレムじゃなくてよかった
[658] 呼んだ？それとも気のせい？わたしはどっちでもいいよ
[659] うーん、もしかして、仕事？大丈夫、物干し竿は持ってる
[660] 身体、動かしたい、ゴーレムだから、動くから、ゴーレム
[661] 覚えるの苦手、だから何度も言って。声が効けて、嬉しい
[662] ゴーレムだから、ひんやり。寝苦しい夜に、便利。試してみる？
[663] 大丈夫、みんな、守るから。え？わたしの心配？そう、嬉しい、ありがとう。
[664] ゴーレムだから、動かないのは、平気。だけど、動かないと、彫刻みたい。脱いだ方が、いい？
[665] 強そうに、見える？ありがとう、だって、強いと、いっぱい守れる。わたし、まもるのすきだ
[666] なに？え、呼んだだけ？ それ、今度、私もやってみる
[667] 接続者…だっけ。わたし物覚え悪い、でも仕事は忘れて無い、大丈夫
[668] 空は、とても青い、何時間でも見ていられる
[669] わぁ～ビックリした。うん、驚いた。驚いた、のかな
[670] 傍にいっていい？近づかないと守れない、密着すれば守れる、いい？
[671] おっぱい、揉みたい？いいよ、え？何で驚かれるの
[672] 運命の出会い、広い欲しいです
[673] 大丈夫、私ならたわしでも平気。え、どうしてたわしなのか？質問の意味、良く分からない
[674] 接続者の匂いがする。ううん、いい匂いだよ。首筋の匂い、嗅いでいい？
[675] はっ！？う、んんん！んっ、ああぁあ！？
[676] ん、漲る…。
[677] んっ、あっ、はぁあ……。
[678] え、何するの…いやだ、助けて、イレーナ
[679] 剛毅のレヴィ、です、みんなを守ります
[680] Dアセンション、レヴィ・ウィッチ
[681] がんばる
[682] こんにちは、おじゃまします
[683] もう終わった？
[684] みんな、守れたかな？
[685] いいかな
[686] いくよ
[687] とーう
[688] あう
[689] いたっ
[690] 我慢、する
[691] ごめん、なさい
[692] 嬉しすぎて、顔、にやけそう
[693] わぁ、ありがとう、大事にする
