[1] 太棒啦，变强了！
[524] 新娘超昂，只要有任务无论何时都能战斗！
[525] 啊……果然很在意吗？呜呜……布料有点……
[526] 一起加油重获和平吧？
[527] 长官……请、请不要一直看我……啊，不对，不能说这种话呢。
[528] 啊，是D充能吗？好的，我随时都可以。
[529] 呼呼……虽然有点害羞，但婚纱果然好可爱好漂亮，太棒了……
[530] 长官？……那个……怎么了吗～？睡着了吗……？
[531] 变——得更强了。
[532] 呼啊昂！呼、啊啊啊啊啊昂！？
[533] っ！不行，那种地方——啊啊！？
[534] 不行……请不要过来！不……不要啊啊啊啊啊！！！
[535] 哇啊，非常感谢！
[536] 我会好好珍惜的……呜呼！
[537] 我是高圆寺沙由香的妹妹高圆寺圆。别看我这样，其实我是高性能通用支援型决战兵器仿生人。请多指教。
[538] 能保持这个姿势一直等待才称得上是优秀女仆机器人的本领。哼哼。
[539] 武装蠢蠢欲动……这可能会导致走火。
[540] 完成强化了。主要是精神层面。……开玩笑的。
[541] 这个……并没有包含在我的……っ、强化计划里。没有，包含……っっ！
[542] 呼啊啊啊，啊啊……好温暖……哈啊，呜！！
[543] 这样下去会落入敌人手中……啊啊啊啊啊啊！！！
[544] 要我去吗？还真是个会使唤机器人的人呢
[545] 如果是救援的话请放心交给我
[546] 战斗胜利1
[547] 查拉查—嗯♪ 尝试着吹响了胜利的号角
[548] 战斗胜利2
[549] 献给您胜利的荣耀！
[550] 欸
[551] 开始攻击
[552] 嗒咿呀—。
[553] 系统启动...地狱火（Hellfire）
[554] 嗯喵————
[555] 伤害轻微
[556] 丧失战斗能力。撤退
[557] 这个是！！……我会感激地使用的。
[558] 啊啊……那个……这种心情……就是所谓的“高兴”吗？
[559] 真是的，也太猴急了。嗯っ啊，嗯啊……嗯，光顾着摸胸部……！嗯，哈啊呜！？
[560] っ哈，更多……っ！再多，做一点……啊っ！再粗暴一点，做啊！！嗯，啊……嗯啊啊啊！！
[561] 嗯嗯嗯っ！？弄得好多……胸部都被弄得黏糊糊的了。
[562] 这样子怎么样—？
[563] 我要将大家，通通变成，粉红色的，哦♪
[564] 《三之裁刀》伊萨奈尔，愿作为一把宝刀，在贵阁下手下战力。若是突击，就交给我吧！
[565] 穿上圣铠，内心便激动不已。好想快点和同伴们一起，在战场上驰骋……！
[566] 这个基地，是个好地方呢。既有放松的氛围，又保持着适度的紧张感。
[567] 在对方的攻击到达前赶超。知易行难啊
[568] 啊，啊啊……！要摸的话，请先跟我说一声……变成这个身体后，皮肤变得过于敏感了……。
[569] 在天界时，我带领着突击部队。大家既认真又诚恳，而且优秀……但唯一的缺点就是不听劝。
[570] 清晨的锻炼能让身心都紧绷起来！晚上9点睡，早上3点起，这是最理想的！
[571] 对战士而言，能喊出大声音也是一种才能。不管是威吓敌人，
[572] 在基地的生活我很享受。能和拥有各种能力与技术的战士们交手，是再好不过的事了！
[573] 我似乎和机械类的东西相性很差……一碰到……就会立刻弄坏。刚才也是……不小心给碰坏了。十分抱歉……。
[574] 如果有时间的话，能陪我锻炼一下吗？我想亲身体会一下地表上创造出的武术之妙。
[575] 卡拉OK……！那真是极好的娱乐！不管喊多大声，都不会有人抱怨！
[576] 过于拼命的话，效率反而会下降。好的锻炼，需要好的休息。
[577] 谢谢。多亏了长官阁下，我又变强了一分。
[578] 啊啊……！那里……呜，那里，再多……摸摸……。
[579] 啊啊っ！啊啊，啊啊……！这么舒服的感觉，还是第一次……！
[580] 是我输了……这具身体，任凭你处置……
[581] 那么，呐喊冲锋！
[582] 神圣武装（Holy Armed）！瓦尔基里·伊萨奈尔！
[583] 三之裁刀伊萨奈尔！参上！
[584] 就让你成为神刀阳炎的刀下鬼吧！
[585] 是我们的胜利！欢呼胜利吧！
[586] 让我们一步一个脚印，稳扎稳打地积累胜利吧。
[587] 嗒俩啊！
[588] 呼っ！
[589] 冲锋陷阵！
[590] 呐·喊！
[591] 天真！
[592] 全力聚于这一刀！恶业裁刀！秽物净化（Kegarebarai）
[593] 九之护枪梅法尔，从今日起作为 Dai-Beat 的一员战力。时定先生的安危，我必将誓死守护！
[594] 与剑、枪、斧头相比，枪械是很轻的……但是，它的扳机却无比沉重。
[595] 护卫的工作也包含“死等”。重要的是即便长时间待命也不能散失注意力呢。
[596] 今天是个适合散步的好天气。外出时我会负责警卫，请一定要跟我说一声哦。
[597] 神枪俄耳托斯是攻防一体的武器。不仅能击退敌人，还能展开守护同伴的屏障哦。
[598] 勇猛、忠诚、嗅觉敏锐……昂……在地表上，狗狗们似乎经常在要人警护的场合大显身手呢。
[599] 想要和平就要为战争做准备……这是古人留下的格言。
[600] 柴犬、斗牛犬、哈士奇、松狮犬、金毛寻回犬……啊啊，哪种狗狗都那么可爱那么棒！
[601] 来到 Dai-Beat 之后，和其他九大神骑交流的机会比以前增多了。大家似乎都在为了适应地表的生活而努力着呢。
[602] 刚才遇到了散步中的狗狗！我向它挥手，它也摇尾巴回应我……啊啊，光是回想起来就觉得好幸福。
[603] 并不是视力不好，但戴上眼镜的话注意力会提升，所以非战斗时我都戴着眼镜。
[604] 不仅仅是因为护卫的职责，而是想一直一直留在您的身边……我是这么想的
[605] 以狗狗为题材的电影，大多都会描写与主人的离别……嗯嗯，看着看着眼泪就止不住了。
[606] 听说狗狗的嗅觉是人类的数千到数万倍。时间感觉似乎也是通过气味来识别的……
[607] 嗯……嗯……嗯嗯啊……请吻得更深一点……嗯……嗯……请再深入到最里面来！
[608] 力量……为了守护而存在的力量……涌出来了！
[609] 啊啊……我的身体……现在变得非常滚烫！
[610] 只要能守护重要的人……即便这具身体……被玷污……
[611] 竞技场（Arena）——！！（注：指演唱会现场）
[612] 想破上弦众，七闪之四位，光之诗织，参上。呼呼……请多指教呢，头领！
[613] 呼呼っ！光之诗织，会加油的！
[614] 呀、っ……比一个人做的时候，感觉更……厉害。
[615] 呀昂！？啊，不要看……！
[616] 呜呜……我什么都……说不出来了……
[617] 九大神骑拉芙迪尔，参上！！地表上蔓延的一切罪恶，就由我这双手通通铲除给你看……
[618] 嗯，嗯呜呜呜！感觉全身都飘飘然的……好舒服。
[619] 嗯っ，（
[620] 啾噜噜，啾
[621] ）嗯嗯（
[622] 啾啾，啾噜
[623] ）嗯，嗯呼……虽然味道很怪……但还不赖。
[624] 嗯，咕哈，咕啊啊！？再多……再让我多感受一点！
[625] 你在看哪里？
[626] 堂堂的我，居然会被击落……！
[627] 六之法杖塞拉菲尔，报到。为了重获世界的安宁，尽我绵薄之力为您效劳。
[628] 即便使用治愈的奇迹，也无法抚平心灵的创伤。所以我想通过大量的交流，哪怕能稍微减轻一点同伴的烦恼和痛苦也好……
[629] 伤口的治愈就交给我吧。我所掌握的奇迹，全都是为此而存在的。
[630] 这样死盯着我的身体看……莫非时定先生是萝莉控吗？
[631] 呼啊啊！？啊、啊那个！ 摸我是不介意，但突然被摸的话，会吓一跳的……。
[632] 指尖受伤了吗？我来为您舔舔治好它吧。
[633] 像这样互相接触，心里就会平静下来。想更多地触碰你……。
[634] 治愈受伤的人们，守护未来。我今后也会一直服侍您的。
[635] 我的圣铠，听说和叫做“死库水”的东西一模一样。下次，能让我穿穿看真正的“死库水”吗？
[636] 问使用治愈奇迹能不能恢复体力，是吗？ 呼呼っ。现在要试一下吗？
[637] 为了顺畅地沟通，肢体接触是很重要的。请多摸摸我吧。
[638] 有什么我可以帮忙的吗？ 只要是为了您，无论什么事我都愿意做。
[639] 我的胸部平平的，稍微有点害羞。听说揉的话会变大……能请您帮帮我吗？
[640] 那个，如果您有空的话，能和我，唠、唠嗑吗？
[641] 能让我为您膝枕吗？ 我想看看你在我的大腿上睡着的姿态。
[642] 稍后我可以去您的房间吗？ 那个……想请您帮我做D充能。可以的话，希望能充沛地做一整晚♪
[643] 呜呼呼。今天也在一起呢。总觉得……非常幸福♪
[644] 我喜欢和人牵着手走路。心里会非常平静……而且，不用担心走散。
[645] 听说很久以前的大人物会有陪睡的人呢。能让我来担任那个角色吗？
[646] 嗯嗯……啊啊……。力量、涌上来了。
[647] 那里っ！ 那里好舒服。请多摸摸那里……。
[648] 啊っ！ 哈っ……啊啊……っ。想和你一直保持这样……。
[649] 啊啊，不行っ！ 那里是属于那个人的……。
[650] 好的，塞拉菲尔，出动。
[651] 伤员的治疗就交给我吧。
[652] 大家，有受伤吗？
[653] 呼。总算赢了呢。
[654] 净化法杖……治愈领域（Heal Field）！
[655] 不行っ！
[656] 刚、刚毅的莱薇……为了保护大家，我会加油的。
[657] 5是魔像（Golem）的5。嗯，听起来很强。不是莫像或者奴像真是太好了
[658] 你叫我了？还是我看错了？我怎样都行哦
[659] 呜—嗯，难道说，是工作？没关系，我带着晾衣杆
[660] 想活动活动身体，因为是魔像，会动，所以是魔像
[661] 我不擅长记忆，所以请多说几遍。能听到你的声音，很高兴
[662] 因为是魔像，冰冰凉凉的。在难以入睡的夜晚很方便。要试试看吗？
[663] 没关系，大家，由我来守护。诶？你在担心我？这样啊，很高兴，谢谢你。
[664] 因为是魔像，不动也无所谓。但是不好的话就像雕像一样。脱掉比较好吗？
[665] 看起来，很强吗？谢谢你，因为越强就能守护更多人。我喜欢守护别人
[666] 什么？诶，只是叫我一下？ 那我下次也试试
[667] 连接者……来着。我记忆力不好，但工作没忘记，没关系
[668] 天空，非常蓝，看几个小时都不腻
[669] 哇～吓了一跳。嗯，吃惊了。吃惊了吗
[670] 可以去你身边吗？不靠近的话就无法守护，贴紧的话就能守护，可以吗？
[671] 想揉胸部？可以哦，诶？为什么要惊讶
[672] 命运的相遇，想要很多
[673] 没关系，我的话就算是用刷子也没事。诶，为什么是刷子？不太明白问题的意思
[674] 有连接者的气味。不，是好闻的气味哦。可以闻闻脖颈的气味吗？
[675] 哈！？呜、嗯嗯嗯！嗯っ、啊啊啊！？
[676] 嗯，涨起来了……。
[677] 嗯っ、啊っ、哈啊啊……。
[678] 诶，要干什么……不要，救救我，伊雷娜
[679] 我是刚毅的莱薇，会保护大家的
[680] D上升（D-Ascension），莱薇·女巫
[681] 我会加油的
[682] 你好，打扰了
[683] 已经结束了吗？
[684] 有好好保护大家吗？
[685] 可以了吗
[686] 我去了
[687] 嗒—
[688] 啊呜
[689] 好痛
[690] 我会忍耐的
[691] 对不起
[692] 太高兴了，感觉嘴角要笑歪了
[693] 哇，谢谢你，我会珍惜的
