[694] 咕……昨晚追深夜动画实时直播，睡眠不足……。
[1204] 双倍下注（Double Down）哦。
[1205] 摊牌！哎呀，牌型挺不错嘛。
[1206] 阿呜
[1207] 今天手气不太好呢……
[1208] 今晚是我输了呢……。
[1209] 呜啊啊……头领的手……好色哦。
[1210] 哈啊……哈啊……啊，这种感觉……还是第一次……っ
[1211] 嗯嗯嗯！嗯っ！嗯っ！嗯呜、嗯嘻！要去了！要去了！要去了啊啊啊！
[1212] 闪忍鹤子！要上咯—！
[1213] 赢了赢了—！是祭典啊—！！
[1214] 塞啊啊啊啊意！
[1215] 哆啊啊啊啊啊意！！
[1216] 呀っ……别突然摸我！诶？有垃圾沾在上面？喔？啊……非常感谢。
[1217] 长官大人，待会儿要不要一起喝个茶？松饼级别的我还是能做做看的。
[1218] 这身服装会不会害羞，是吗？唔——嗯，虽然已经习惯了……但肚子感觉冷冰冰的……
[1219] 长官大人……能让我稍微靠一下吗？嗯……感觉似乎也不赖呢……
[1220] 长官大人！你在哪？街上的和平没问题吧……
[1221] 我是被作为与诅咒党战斗的闪忍培养长大的。虽然经历了很多……但现在我已经是个独当一面的忍者了。
[1222] 长官大人感觉有点像高丸？啊，对不起！长官大人也很帅气……啊啊啊呜嗯……不是那个意思！嗯嗯嗯……！
[1223] 这个基地好厉害啊……要是原本的世界也有就好了……
[1224] 咦？长官大人，刚才肚子叫了吗？要我做点能补补精力的东西吗？
[1225] 长官大人，直勾勾盯着我的脸看，怎么了吗？难道说觉得我很可爱？唔—（红脸）……开玩笑的啦……
[1226] 呐～埃……长官大～人！真是的……我可不喜欢被晾在一边哦～
[1227] 咦？在哪呢，长官大人？……长——官大——人——！！
[1228] 嗯っ！感觉不错！
[1229] 好厉害，这就是长官卡大人的力量……！？
[1230] 昂っ、昂昂っ！嗯、嗯啊啊啊！？
[1231] 用我的手里剑来开拓道路！
[1232] 就交给成香吧。
[1233] 辛苦了。回去大家一起吃饭吧。
[1234] 太棒了！成香，胜利！
[1235] 给我中啊！
[1236] 要上咯！
[1237] 哈啊啊啊啊！
[1238] 德啊啊啊啊以！
[1239] 大家统统给我烧成灰烬吧！『锐·红破旋空』！
[1240] 好痛！？
[1241] 呜呜呜，对不起……。
[1242] 驱散恶鬼徘徊的现世之暗者，乃是月影。吾乃上弦。想破上弦众之闪忍，遥，参上！
[1243] 请不必担心。我已经历过如繁星般繁多的战役。
[1244] 啊……明白了……等锻炼结束后，我们再慢慢充能吧……
[1245] 啊……时贞大人……现在想摸摸看吗？嗯嗯……只能摸一会儿会儿哦？
[1246] 啊昂……被时贞大人抚摸的话，感觉身心都能放松平静下来。
[1247] 这把苦无的名字叫“滴”。会像五月雨般倾泻在敌人身上，将其贯穿。
[1248] 时贞大人……在休息中吗？请……慢慢休息吧。
[1249] 时贞大人？眼睛湿润了哦？如果是充能的话，我们去房间里完成吧。
[1250] 是的……时贞大人就是我如今的主君。只要您希望，我就会像这样一直陪在您身边哦？
[1251] 嗯……怎么了吗……？被您这么直勾勾地盯着……我会很困扰的……
[1252] 这身制服，和我原来所在的世界里上的学园是一模一样的。真神奇呢……明明是不同的世界却有着相同的制服……
[1253] 呼啊啊啊啊……对不起！我有点松懈了！
[1254] 那个？时贞大人？您在吗？？
[1255] 还没完。我要变得更强……！
[1256] 也请让我来做吧……啊！
[1257] 啊！那里……啊啊啊！！
[1258] 你、你想干什么！啊、啊啊啊啊啊！！
[1259] 虽绵薄，我也来助阵！
[1260] 这就是上弦的力量！
[1261] 忍务完成。
[1262] 德呀！
[1263] 德啊啊啊啊！
[1264] 天雷啊，击碎我的敌人吧！穿·四闪五月雨！
[1265] 呀啊啊！？
[1266] 非常感谢！我会好好珍惜的！！
[1267] 居然能收到如此精美的礼物……遥真是幸福之人！
[1268] 为你做到这种地步……只对你一个人哦？
[1269] 呀昂！？那种地方，我连丈夫都没给看过……！？
[1270] 嗯呜呜呜！？要变不回去了啊啊！！
[1271] 装身！天衣雾缝！
[1272] 如果是为了守护幸福的生活！
[1273] 是的！
[1274] 哧！
[1275] 看招—！
[1276] 统统给我吹飞吧！『粉尘爆碎·万物业破』！
[1277] 不行啊！？
[1278] 咕！？
[1279] 呜哇哇……是不幸福吗。
[1280] 流了这么多汁，真是个不成体统的家伙啊……（吸吸溜！啾！）
[1281] （必杀技使用时）
[1282] 结束了……拥抱黑暗溺死吧
[1283] 久世上弦众，七暴之四位，暗之奉轮小森。特长是暗杀……大概就这些吧……
[1284] 嗯嗯，嗯嗯嗯……呼啊、啊……呼啊，啊啊啊！？
[1285] 长官，别、别看！嗯呜！别看啊！
[1286] 嗯啊啊，长官的……啊、感受到了，啊啊！！
[1287] 结束了。被黑暗拥抱溺死吧！
[1288] 刚才，你摸了我吧？呜呼呼……真是不听话呢……（生气）
[1289] 请不要太频繁地摸我，我会起诉你的哦。
[1290] 您也是个相当古怪的人呢……
[1291] 让我这种女人当秘书……那么，您的企图是什么呢？
[1292] 竟然在我面前香甜地睡着……真是的……真是个让人乱了阵脚的人呢……
[1293] 虽然被称为恶鬼，但别看我这样，我也有温柔的一面哦？呜呼呼……要试一试吗？
[1294] 辅助长官，虽然不太情愿，但这也是工作呢……
[1295] 咖啡泡好了。如果不介意的话，请用。
[1296] 如果可以的话，能少摸我一点就太感谢了。
[1297] 您的手停下来了哦？长官……
[1298] 看来您很累了呢？您总是太逞强了。
[1299] 长官可真是一个好职位呢？明明大家都在忙碌地工作着，您却能在这里发呆。
[1300] 会变得更加强大了呢……？
[1301] 呀啊昂！？啊啊啊喔呜！？
[1302] 初次见面。我是奇雷·阿诺。能请你成为我的目的地吗？
[1303] 嗯っ、嗯嗯っ…。
[1304] 嗯啊啊，啊っ啊っ啊！？要、要去了啊啊啊啊啊！？
[1305] 嗯啊，啊っ啊っ昂！啊昂！
[1306] 怎么会……简直像薄本（同人志）……一样……
[1307] 诶嘿嘿……非常感谢。我很开心……
[1308] 哇……这是给我的吗？
[1309] 诶—，可以吗！？谢谢你—！
[1310] 虽然不知道能帮上多少忙，但我会加油的！
[1311] 嗯，怎么了吗？时贞先生
[1312] 嗯，我这边已经准备好了
[1313] 我会加油的，我会试着努力看看
[1314] 唔嗯，你的眼神，好色哦
[1315] 我已经变身了，命令还没有下达吗？
[1316] 我在等待指示，我该怎么做才好？
[1317] 什么？时贞先生
[1318] ……是不是有什么事找我
[1319] 呀っ！好、好色
[1320] 再这样适可而止的话……我可要生气了哦
[1321] ……被晾在一边，好闲啊
[1322] 呼啊……嗯，好困啊……
[1323] 三叶，要全速前进了哦！灵魂之星（Astra）！
[1324] 蜜叶，全速前进咯！魂之星光！
